short_title,Title,,Better title,explanation_1,explanation_2,explanation_3,compiled_explanation,Advice,,,Reason,Category,Type,,Cost,14,
low-priority,Low Priority Treatments,"For example, here's how <span class=""your-practice"">your practice</span> compares to <span class=""other-practices"">other practices</span> for ","prescriptions of treatments considered ""Low Priority"" by NHS England, per 1,000 population","You could have saved up to £{{ cost_savings }} over the last 6
months by avoiding Low Priority treatments. Go to {{ lp_focus_url }} to see this broken down into 18 individual categories.",,,"For example, here's how <span class=""your-practice"">your practice</span> compares to <span class=""other-practices"">other practices</span> for prescriptions of treatments considered ""Low Priority"" by NHS England, per 1,000 population. You could have saved up to £{{ cost_savings }} over the last 6
months by avoiding Low Priority treatments. Go to {{ lp_focus_url }} to see this broken down into 18 individual categories.",Consider prescribing :,LESS high-cost ACE inhibitors,because:,you could save XX with generic ACE inhibitors,Cost,proportion,,,,FALSE
ace,High-cost ACE inhibitors,"For example, here's how <span class=""your-practice"">your practice</span> compares to <span class=""other-practices"">other practices</span> for ","""% ACE inhibitors which were high-cost""","You could have saved £{{ cost_savings }} over the last 6
months by prescribing ",generic ACE inhibitors, instead. ,"For example, here's how <span class=""your-practice"">your practice</span> compares to <span class=""other-practices"">other practices</span> for ""% ACE inhibitors which were high-cost"". You could have saved £{{ cost_savings }} over the last 6
months by prescribing generic ACE inhibitors instead. ",Consider prescribing :,LESS high-cost ACE inhibitors,because:,you could save XX with generic ACE inhibitors,Cost,proportion,,,,FALSE
arb,High-cost ARBs,"For example, here's how <span class=""your-practice"">your practice</span> compares to <span class=""other-practices"">other practices</span> for ","""% ARBs which were high-cost""","You could have saved £{{ cost_savings }} over the last 6
months by prescribing ",generic ARBs, instead. ,"For example, here's how <span class=""your-practice"">your practice</span> compares to <span class=""other-practices"">other practices</span> for ""% ARBs which were high-cost"". You could have saved £{{ cost_savings }} over the last 6
months by prescribing generic ARBs instead. ",Consider prescribing :,LESS high-cost angiotensin receptor blockers (ARBs) ,because:,you could save XX with generic ARBs ,Cost,proportion,,,,
desogestrel,Desogestrel prescribed as a branded product,"For example, here's how <span class=""your-practice"">your practice</span> compares to <span class=""other-practices"">other practices</span> for ","""% desogestrel prescribed as branded products""",Generic desogestrel is cheaper.,,,"For example, here's how <span class=""your-practice"">your practice</span> compares to <span class=""other-practices"">other practices</span> for ""% desogestrel prescribed as branded products"". Generic desogestrel is cheaper.",Consider prescribing :,LESS Desogestrel branded tablets,because:,you could save XX with generic desogestrel,Cost,proportion,"For example, here's how <span class=""your-practice"">your practice</span> compares to <span class=""other-practices"">other practices</span> for ""% desogestrel prescribed as branded products"". Generic desogestrel is cheaper.",,,
ciclosporin,Ciclosporin and tacrolimus oral preparations prescribed generically,"For example, here's how <span class=""your-practice"">your practice</span> compares to <span class=""other-practices"">other practices</span> for ",Generic ciclosporin and tacrolimus oral preparations,"These should be prescribed by brand because not all have the same bioavailability, leading to possible toxicity or lack of effectiveness.",,,"For example, here's how <span class=""your-practice"">your practice</span> compares to <span class=""other-practices"">other practices</span> for Generic ciclosporin and tacrolimus oral preparations. These should be prescribed by brand because not all have the same bioavailability, leading to possible toxicity or lack of effectiveness.",Consider prescribing :,LESS GENERIC ciclosporin and tacrolimus,because:,"Different brands may not have the same bioavailability, leading to possible toxicity or lack of effectiveness.",Safety,proportion,"For example, here's how <span class=""your-practice"">your practice</span> compares to <span class=""other-practices"">other practices</span> for Generic ciclosporin and tacrolimus oral preparations. These should be prescribed by brand because not all have the same bioavailability, leading to possible toxicity or lack of effectiveness.",,,
coproxamol,Co-proxamol,"For example, here's how <span class=""your-practice"">your practice</span> compares to <span class=""other-practices"">other practices</span> for ",co-proxamol,"The licence for co-proxamol was withdrawn in 2005 due to safety concerns, and it is now very expensive.",,,"For example, here's how <span class=""your-practice"">your practice</span> compares to <span class=""other-practices"">other practices</span> for co-proxamol. The licence for co-proxamol was withdrawn in 2005 due to safety concerns, and it is now very expensive.",Consider prescribing :,LESS co-proxamol,because:,"its licence was withdrawn in 2005 due to safety concerns, and it is very expensive",Cost,per 1000,"For example, here's how <span class=""your-practice"">your practice</span> compares to <span class=""other-practices"">other practices</span> for co-proxamol. The licence for co-proxamol was withdrawn in 2005 due to safety concerns, and it is now very expensive.",,,
diltiazem,Diltiazem preparations (>60mg) prescribed generically,"For example, here's how <span class=""your-practice"">your practice</span> compares to <span class=""other-practices"">other practices</span> for ",Generic diltiazem preparations (>60mg),"These should be prescribed by brand, because different formulations may not all have the same clinical effect.",,,"For example, here's how <span class=""your-practice"">your practice</span> compares to <span class=""other-practices"">other practices</span> for Generic diltiazem preparations (>60mg). These should be prescribed by brand, because different formulations may not all have the same clinical effect.",Consider prescribing :,LESS GENERIC diltiazem (>60mg),because:,different formulations may not all have the same clinical effect,Safety,proportion,"For example, here's how <span class=""your-practice"">your practice</span> compares to <span class=""other-practices"">other practices</span> for Generic diltiazem preparations (>60mg). These should be prescribed by brand, because different formulations may not all have the same clinical effect.",,,
dipyridamole,Prescribing of dipyridamole,"For example, here's how <span class=""your-practice"">your practice</span> compares to <span class=""other-practices"">other practices</span> for ",dipyridamole,Dipyridamole should generally be used only when clopidogrel is contraindicated or not tolerated.,,,"For example, here's how <span class=""your-practice"">your practice</span> compares to <span class=""other-practices"">other practices</span> for dipyridamole. Dipyridamole should generally be used only when clopidogrel is contraindicated or not tolerated.",Consider prescribing :,LESS Dipyridamole,because:,Dipyridamole should generally be used only when clopidogrel is contraindicated or not tolerated,Safety,proportion,"For example, here's how <span class=""your-practice"">your practice</span> compares to <span class=""other-practices"">other practices</span> for dipyridamole. Dipyridamole should generally be used only when clopidogrel is contraindicated or not tolerated.",,,
fungal,Topical treatment of fungal nail infections,"For example, here's how <span class=""your-practice"">your practice</span> compares to <span class=""other-practices"">other practices</span> for ",topical treatments for fungal nail infections,These treatments have a low cure rate and treatment is required for 3-6 months.,,,"For example, here's how <span class=""your-practice"">your practice</span> compares to <span class=""other-practices"">other practices</span> for topical treatments for fungal nail infections. These treatments have a low cure rate and treatment is required for 3-6 months.",Consider prescribing :,LESS topical antifungal treatments,because:,Topical anti-fungal treatments have a low cure rate and treatment is required for 3-6 months,Efficacy,per 1000,"For example, here's how <span class=""your-practice"">your practice</span> compares to <span class=""other-practices"">other practices</span> for topical treatments for fungal nail infections. These treatments have a low cure rate and treatment is required for 3-6 months.",,,
glaucoma,Glaucoma eye drops prescribed by brand,"For example, here's how <span class=""your-practice"">your practice</span> compares to <span class=""other-practices"">other practices</span> for ",Glaucoma eye drops by brand,Generic preparations are cheaper and equally effective.,,,"For example, here's how <span class=""your-practice"">your practice</span> compares to <span class=""other-practices"">other practices</span> for Glaucoma eye drops by brand. Generic preparations are cheaper and equally effective.",Consider prescribing :,LESS branded glaucoma eye drops,because:,generic preparations are cheaper and equally effective,Cost,proportion,"For example, here's how <span class=""your-practice"">your practice</span> compares to <span class=""other-practices"">other practices</span> for Glaucoma eye drops by brand. Generic preparations are cheaper and equally effective.",,,
