TransactionID,DestinationFax,Status,PagesSent,Duration,SubmitTime,CompletionTime,RemoteCSID,Subject,ReplyEmail,Total
832098944,00441362852819,0,1,55,2018/05/08 09:41:46,2018/05/08 09:47:02,01362  852819,about your prescribing - 1,fax@openprescribing.net,0.07
832098942,00441268686141,0,1,60,2018/05/08 09:41:45,2018/05/08 09:43:02,Grafton Surgery,about your prescribing - 1,fax@openprescribing.net,0.07
832098932,00441214579256,0,1,45,2018/05/08 09:41:44,2018/05/08 09:46:49,01214579256,about your prescribing - 1,fax@openprescribing.net,0.07
832098934,00442476733023,0,1,60,2018/05/08 09:41:44,2018/05/08 09:42:56,,about your prescribing - 1,fax@openprescribing.net,0.07
832098930,00441473610791,0,1,47,2018/05/08 09:41:43,2018/05/08 09:42:44,01473 610028,about your prescribing - 1,fax@openprescribing.net,0.07
832098925,00441652650902,0,1,59,2018/05/08 09:41:42,2018/05/08 09:47:02,,about your prescribing - 1,fax@openprescribing.net,0.07
832098928,00442089076003,0,1,108,2018/05/08 09:41:42,2018/05/08 09:43:56,,about your prescribing - 1,fax@openprescribing.net,0.13
832098921,00441603766829,0,1,47,2018/05/08 09:41:41,2018/05/08 09:50:53,,about your prescribing - 1,fax@openprescribing.net,0.07
832098912,00441912814309,0,1,57,2018/05/08 09:41:40,2018/05/08 09:42:51,,about your prescribing - 1,fax@openprescribing.net,0.07
832098908,00441793772662,0,1,73,2018/05/08 09:41:39,2018/05/08 09:43:00,01793772662,about your prescribing - 1,fax@openprescribing.net,0.09
832098910,00441993822885,0,1,59,2018/05/08 09:41:39,2018/05/08 09:42:48,,about your prescribing - 1,fax@openprescribing.net,0.07
832098907,00442084473633,8021,0,67,2018/05/08 09:41:38,2018/05/08 10:01:13,,about your prescribing - 1,fax@openprescribing.net,0.00
832098902,00441249783110,0,1,78,2018/05/08 09:41:37,2018/05/08 09:50:25,01249783110,about your prescribing - 1,fax@openprescribing.net,0.09
832098906,00442088058128,0,1,59,2018/05/08 09:41:37,2018/05/08 09:42:46,,about your prescribing - 1,fax@openprescribing.net,0.07
832098900,00442088400533,0,1,77,2018/05/08 09:41:36,2018/05/08 09:47:22,,about your prescribing - 1,fax@openprescribing.net,0.09
832098899,00442082086906,0,1,115,2018/05/08 09:41:35,2018/05/08 09:44:41,OK,about your prescribing - 1,fax@openprescribing.net,0.14
832098896,00441993831867,0,1,59,2018/05/08 09:41:34,2018/05/08 09:42:47,,about your prescribing - 1,fax@openprescribing.net,0.07
832098898,00441516431679,0,1,47,2018/05/08 09:41:34,2018/05/08 09:46:53,01516431679,about your prescribing - 1,fax@openprescribing.net,0.07
832098892,00442077041932,0,1,60,2018/05/08 09:41:33,2018/05/08 09:42:45,02077041932,about your prescribing - 1,fax@openprescribing.net,0.07
832098883,00441829752593,0,1,90,2018/05/08 09:41:32,2018/05/08 09:44:31,01829752593,about your prescribing - 1,fax@openprescribing.net,0.11
832098886,00442089054638,0,1,60,2018/05/08 09:41:32,2018/05/08 09:42:45,02089054638,about your prescribing - 1,fax@openprescribing.net,0.07
832098882,00442073726138,0,1,61,2018/05/08 09:41:31,2018/05/08 09:42:43,02073726138,about your prescribing - 1,fax@openprescribing.net,0.08
832097510,00441737770804,0,1,73,2018/05/08 09:36:06,2018/05/08 09:41:09,01737770804,about your prescribing - 1,fax@openprescribing.net,0.09
832097505,00441704897182,0,1,44,2018/05/08 09:36:05,2018/05/08 09:40:41,,about your prescribing - 1,fax@openprescribing.net,0.07
832097503,00441612256258,0,1,75,2018/05/08 09:36:04,2018/05/08 09:49:26,01612256258,about your prescribing - 1,fax@openprescribing.net,0.09
832097504,00441634334918,0,1,66,2018/05/08 09:36:04,2018/05/08 09:37:25,01634334918,about your prescribing - 1,fax@openprescribing.net,0.08
832097499,00441243813474,0,1,60,2018/05/08 09:36:03,2018/05/08 09:37:19,01243813474,about your prescribing - 1,fax@openprescribing.net,0.07
