practice,practice_name,address1,address2,address3,address4,postcode,merged emails,merged faxes,value,notes,checked by,checked date
A82036,THE LAKES MEDICAL PRACTICE,PENRITH HEALTH CENTRE,BRIDGE LANE,PENRITH,CUMBRIA,CA11 8HW,thelakes@gp-a82036.nhs.uk,01768 214346,3.33726,,HC,10/6/19
A83047,DENMARK STREET SURGERY,DENMARK STREET SURGERY,DENMARK STREET,DARLINGTON,COUNTY DURHAM,DL3 0PD,denmark.street@nhs.net,01325 362183,45.37475,,HC,10/6/19
B82005,PRIORY MEDICAL GROUP,PRIORY MEDICAL CENTRE,CORNLANDS ROAD,"ACOMB, YORK",NORTH YORKSHIRE,YO24 3WX,,01904 784886,1.70663,NO EMAIL,HC,10/6/19
B82013,THE MOSS PRACTICE,28-30 KINGS ROAD,HARROGATE,NORTH YORKSHIRE,,HG1 5JP,,,4.481179,can't find any,HC,24/6/19
B86081,BELLBROOKE SURGERY,BELLBROOKE SURGERY,"BELLBROOKE AVE, HAREHILLS",LEEDS,,LS9 6AU,leedspct.bellbrookesurgery@nhs.net,0113 2484993,23.32308,This is NOT a manned email address.,HC,10/6/19
C81044,WHITTINGTON MOOR SURGERY,WHITTINGTON MOOR SURGERY,SCARSDALE ROAD,WHITTINGTON MOOR,"CHESTERFIELD,DERBYSHIRE",S41 8NA,valjohnson@nhs.net,,7.516913,PM email from https://www.derbyshirelmc.org.uk/jobs/view/5217,RC,10/6/19
C81110,WELLBROOK MEDICAL CENTRE,WELLBROOK MEDICAL CENTRE,"WELLAND ROAD, HILTON",DERBY,DERBYSHIRE,DE65 5GZ,kim.bartlett@nhs.net,,42.10526,Senior Secretary email from https://www.derbyshirelmc.org.uk/jobs/view/6439,RC,10/6/19
C82027,THE OLD SCHOOL SURGERY,THE OLD SCHOOL SURGERY,HINCKLEY ROAD,STONEY STANTON,LEICESTERSHIRE,LE9 4LJ,,01455 274526,3.699789,,HC,10/6/19
C82051,NEWBOLD VERDON MED.PRACT.,NEWBOLD VERDON MED.PRACT.,ST GEORGES CLOSE,NEWBOLD VERDON,LEICESTERSHIRE,LE9 9PZ,,01455 824968,14.94485,,HC,10/6/19
C86009,THE MAYFLOWER MEDICAL PRACTICE,THE MAYFLOWER MED PRACT,THE HEALTH CENTRE,STATION ROAD,"BAWTRY,DONCASTER",DN10 6RQ,,01302 719884,19.10268,,HC,24/6/19
C87015,WICKERSLEY HEALTH CENTRE,WICKERSLEY HEALTH CENTRE,"POPLAR GLADE, WICKERSLEY",ROTHERHAM,,S66 2JQ,,01709 702470,32.02287,Dr Clarke & Partners?,HC,10/6/19
D82042,E HARLING & KENNINGHALL MEDICAL PRACTICE,THE SURGERY,"MARKET ST, EAST HARLING",NORWICH,NORFOLK,NR16 2AD,,01953 718116,41.03802,"two practices, two fax nos",HC,10/6/19
D82067,THE PARK SURGERY,THE PARK SURGERY,4 ALEXANDRA ROAD,GREAT YARMOUTH,NORFOLK,NR30 2HW,,01493 332951,4.643963,fax from http://www.greatyarmouthandwaveneyccg.nhs.uk/_store/documents/gypractices.pdf,RC,10/6/19
D82087,PROSPECT MEDICAL PRACTICE,PROSPECT MEDICAL PRACTICE,95 AYLSHAM ROAD,NORWICH,NORFOLK,NR3 2HW,,01603 485989,14.60494,,HC,10/6/19
E81018,DR JK MARSDEN'S PRACTICE,WOODLAND AVENUE PRACTICE,30 WOODLAND AVENUE,LUTON,BEDFORDSHIRE,LU3 1RW,,01582 494227,16.56864,,HC,10/6/19
E82074,SOUTH STREET SURGERY,SOUTH STREET SURGERY,83 SOUTH STREET,BISHOPS STORTFORD,HERTFORDSHIRE,CM23 3AP,,01279 464751,28.583,,HC,10/6/19
E84709,WEMBLEY PARK DRIVE MEDICAL CENTRE,21 WEMBLEY PARK DRIVE,WEMBLEY,MIDDLESEX,,HA9 8HD,,020 8795 2987,53.90446,,HC,10/6/19
E85045,TWICKENHAM PARK MEDICAL CENTRE,THE MEDICAL CENTRE,192 TWICKENHAM ROAD,"HANWORTH,FELTHAM",MIDDLESEX,TW13 6HD,,020 8481 7988,31.72924,,HC,10/6/19
E86010,YIEWSLEY FAMILY PRACTICE,THE FAMILY PRACTICE,YIEWSLEY HEALTH CENTRE,20 HIGH STREET,"YIEWSLEY, MIDDLESEX",UB7 7DP,pamela.lemesre@nhs.net,01895 444672,4.650802,,HC,24/6/19
