Page,Pageviews,Unique Pageviews,,,,,
/feedback/?from_url=https://openprescribing.net/practice/,9,9,,,,,
/feedback/?from_url=https://openprescribing.net/practice/C88026/ghost_generics/,3,1,,,,,
/feedback/?from_url=https://openprescribing.net/practice/F85701/,1,1,,,,,
/feedback/?from_url=https://openprescribing.net/practice/G82017/,2,1,,,,,
/feedback/?from_url=https://openprescribing.net/practice/Y00662/,2,1,,,,,
/feedback/?from_url=https://openprescribing.net/practice/Y02954/,1,1,,,,,
/feedback/?from_url=https://openprescribing.net/practice/Y03666/,1,1,,,,,
/feedback/?from_url=https://openprescribing.net/practice/Y03838/,1,1,,,,,
/feedback/?from_url=https://openprescribing.net/practice/Y05146/,2,1,,,,,
/practice/&00352/,1,1,,,,,
/practice/052131265044/,1,1,,,,,
/practice/080419401049/,2,2,,,,,
/practice/08E998/,1,1,,,,,
/practice/137406997049/,1,1,,,,,
/practice/246250231569/,1,1,,,,,
/practice/370649098040/,1,1,,,,,
/practice/504566242567/,1,1,,,,,
/practice/519057776048/,1,1,,,,,
/practice/695961150049/,1,1,,,,,
/practice/775430595048/,1,1,,,,,
/practice/833292606047/,1,1,,,,,
/practice/885224843049/,1,1,,,,,
/practice/993598487045/,1,1,,,,,
/practice/A81001/,1,1,,,,,
/practice/A81001/ghost_generics/,1,1,,,,,
/practice/A81002/,1,1,,,,,
/practice/A81003/,1,1,,,,,
/practice/A81004/,1,1,,,,,
/practice/A81005/,15,10,,,,,
/practice/A81007/,6,4,,,,,
/practice/A81011/,3,2,,,,,
/practice/A81017/,1,1,,,,,
/practice/A81023/,4,4,,,,,
/practice/A81026/,2,1,,,,,
/practice/A81027/,4,3,,,,,
/practice/A81031/,3,3,,,,,
/practice/A81036/,1,1,,,,,
/practice/A81037/,1,1,,,,,
/practice/A81038/,2,2,,,,,
/practice/A81039/,1,1,,,,,
/practice/A81041/,2,1,,,,,
/practice/A81042/,7,6,,,,,
/practice/A81044/,7,7,,,,,
/practice/A81052/,1,1,,,,,
/practice/A81060/,2,2,,,,,
/practice/A81063/,1,1,,,,,
/practice/A81070/,5,5,,,,,
/practice/A81612/,3,3,,,,,
/practice/A81622/,1,1,,,,,
/practice/A81630/,1,1,,,,,
/practice/A81631/,3,3,,,,,
/practice/A82003/,3,2,,,,,
/practice/A82004/,1,1,,,,,
/practice/A82007/,10,8,,,,,
/practice/A82010/,5,4,,,,,
/practice/A82011/,1,1,,,,,
/practice/A82016/,4,3,,,,,
/practice/A82021/,6,5,,,,,
/practice/A82021/concessions/,1,1,,,,,
/practice/A82023/,3,1,,,,,
/practice/A82025/,3,3,,,,,
/practice/A82026/,1,1,,,,,
/practice/A82033/,1,1,,,,,
/practice/A82034/,4,2,,,,,
/practice/A82035/,7,2,,,,,
/practice/A82035/ghost_generics/,1,1,,,,,
/practice/A82037/,1,1,,,,,
/practice/A82038/,1,1,,,,,
/practice/A82039/,1,1,,,,,
/practice/A82044/,3,3,,,,,
/practice/A82046/,4,4,,,,,
/practice/A82055/,6,4,,,,,
/practice/A82055/concessions/,1,1,,,,,
/practice/A82062/,4,4,,,,,
