Page,Pageviews,Unique Pageviews,,,,,
/feedback/?from_url=https://openprescribing.net/feedback/?from_url=https://openprescribing.net/feedback/?from_url=https://openprescribing.net/practice/F84122/,1,1,,,,,
/feedback/?from_url=https://openprescribing.net/feedback/?from_url=https://openprescribing.net/practice/F84122/,1,1,,,,,
/feedback/?from_url=https://openprescribing.net/feedback/?from_url=https://openprescribing.net/practice/H85033/,1,1,,,,,
/feedback/?from_url=https://openprescribing.net/practice/,3,3,,,,,
/feedback/?from_url=https://openprescribing.net/practice/A83636/,1,1,,,,,
/feedback/?from_url=https://openprescribing.net/practice/F81077/,1,1,,,,,
/feedback/?from_url=https://openprescribing.net/practice/F83685/,1,1,,,,,
/feedback/?from_url=https://openprescribing.net/practice/F84122/,1,1,,,,,
/feedback/?from_url=https://openprescribing.net/practice/H85033/,1,1,,,,,
/feedback/?from_url=https://openprescribing.net/practice/L85054/,1,1,,,,,
/feedback/?from_url=https://openprescribing.net/practice/N85002/,1,1,,,,,
/feedback/?from_url=https://openprescribing.net/practice/Y04932/,1,1,,,,,
/practice/?fbclid=IwAR0mmZTp-U7WUu2ggKyqx1JSotIG_WPXhfSYPM6fa5ktuteaOSHoaQalE7c,1,1,,,,,
/practice/?fbclid=IwAR2lGWaK7DXSxnuLCYTsXZyTrPiJER5-mjmbhFoihBnGa8INBlnLlwFzU0o,1,1,,,,,
/practice/?fbclid=IwAR3z5ahH83rIIV_miSyGMiUPhpSDy6kfwZnDXiXCud8Tbt4VioE-bakLAcc,1,1,,,,,
/practice/080419401049/,1,1,,,,,
/practice/519057776048/,1,1,,,,,
/practice/609708648041/,1,1,,,,,
/practice/695961150049/,3,3,,,,,
/practice/993598487045/,2,2,,,,,
/practice/A81001/,2,1,,,,,
/practice/A81004/,2,2,,,,,
/practice/A81005/,2,2,,,,,
/practice/A81006/,4,4,,,,,
/practice/A81009/,1,1,,,,,
/practice/A81015/,1,1,,,,,
/practice/A81016/,1,1,,,,,
/practice/A81020/,1,1,,,,,
/practice/A81027/,7,5,,,,,
/practice/A81031/,9,7,,,,,
/practice/A81036/,1,1,,,,,
/practice/A81038/,1,1,,,,,
/practice/A81043/,1,1,,,,,
/practice/A81044/,1,1,,,,,
/practice/A81045/,1,1,,,,,
/practice/A81046/,1,1,,,,,
/practice/A81052/,5,5,,,,,
/practice/A81056/,1,1,,,,,
/practice/A81070/,2,2,,,,,
/practice/A81608/,2,2,,,,,
/practice/A81621/,1,1,,,,,
/practice/A81622/,3,2,,,,,
/practice/A81629/,3,1,,,,,
/practice/A81632/,1,1,,,,,
/practice/A82003/,2,1,,,,,
/practice/A82004/,2,2,,,,,
/practice/A82005/,4,4,,,,,
/practice/A82007/,4,3,,,,,
/practice/A82008/,1,1,,,,,
/practice/A82010/,3,2,,,,,
/practice/A82012/,1,1,,,,,
/practice/A82016/,9,6,,,,,
/practice/A82019/,3,3,,,,,
/practice/A82020/,2,1,,,,,
/practice/A82024/,2,2,,,,,
/practice/A82032/,1,1,,,,,
/practice/A82038/,1,1,,,,,
/practice/A82039/,13,7,,,,,
/practice/A82039/ghost_generics/,1,1,,,,,
/practice/A82041/,1,1,,,,,
/practice/A82046/,2,2,,,,,
/practice/A82047/,1,1,,,,,
/practice/A82053/,1,1,,,,,
/practice/A82055/,1,1,,,,,
/practice/A82074/,4,4,,,,,
/practice/A82617/,1,1,,,,,
/practice/A82621/,1,1,,,,,
/practice/A82631/,1,1,,,,,
/practice/A82646/,1,1,,,,,
/practice/A83001/,3,2,,,,,
/practice/A83003/,1,1,,,,,
/practice/A83005/,1,1,,,,,
/practice/A83012/,4,3,,,,,
/practice/A83012/ghost_generics/,5,3,,,,,
/practice/A83014/,3,3,,,,,
/practice/A83015/,2,2,,,,,
/practice/A83018/,3,2,,,,,
/practice/A83020/,6,4,,,,,
/practice/A83021/,6,6,,,,,
/practice/A83024/,4,4,,,,,
/practice/A83025/,1,1,,,,,
/practice/A83027/,1,1,,,,,
/practice/A83028/,2,2,,,,,
/practice/A83030/,2,1,,,,,
/practice/A83033/,5,3,,,,,
/practice/A83033/ghost_generics/,7,5,,,,,
/practice/A83035/,2,2,,,,,
/practice/A83036/,2,2,,,,,
/practice/A83037/,8,7,,,,,
/practice/A83040/,2,2,,,,,
/practice/A83041/,1,1,,,,,
/practice/A83044/,1,1,,,,,
/practice/A83045/,7,5,,,,,
/practice/A83045/ghost_generics/,1,1,,,,,
/practice/A83051/,2,1,,,,,
/practice/A83054/,6,3,,,,,
/practice/A83055/,2,1,,,,,
/practice/A83057/,13,12,,,,,
/practice/A83057/ghost_generics/,1,1,,,,,
/practice/A83061/,1,1,,,,,
/practice/A83061/ghost_generics/,1,1,,,,,
/practice/A83066/,4,1,,,,,
/practice/A83066/ghost_generics/,1,1,,,,,
/practice/A83068/,2,2,,,,,
/practice/A83074/,7,7,,,,,
/practice/A83075/,4,4,,,,,
/practice/A83076/,1,1,,,,,
/practice/A83622/,1,1,,,,,
/practice/A83622/ghost_generics/,1,1,,,,,
/practice/A83634/,1,1,,,,,
/practice/A83635/,3,1,,,,,
/practice/A83635/ghost_generics/,1,1,,,,,
/practice/A83636/,3,3,,,,,
/practice/A83636/ghost_generics/,1,1,,,,,
/practice/A83643/,1,1,,,,,
/practice/A84002/,5,1,,,,,
/practice/A84003/,3,3,,,,,
/practice/A84005/,2,2,,,,,
/practice/A84006/,3,3,,,,,
/practice/A84007/,1,1,,,,,
/practice/A84013/,1,1,,,,,
/practice/A84015/,2,2,,,,,
/practice/A84016/,1,1,,,,,
/practice/A84018/,3,2,,,,,
/practice/A84022/,2,1,,,,,
/practice/A84028/,1,1,,,,,
/practice/A84043/,1,1,,,,,
/practice/A84047/,1,1,,,,,
/practice/A85001/,3,2,,,,,
/practice/A85005/,1,1,,,,,
/practice/A85006/,1,1,,,,,
/practice/A85007/,1,1,,,,,
/practice/A85010/,4,4,,,,,
/practice/A85016/,3,1,,,,,
/practice/A85016/concessions/,1,1,,,,,
/practice/A85016/ghost_generics/,1,1,,,,,
/practice/A85020/,3,1,,,,,
/practice/A85601/,1,1,,,,,
/practice/A85605/,1,1,,,,,
/practice/A85609/,1,1,,,,,
/practice/A85617/,2,1,,,,,
/practice/A85617/ghost_generics/,1,1,,,,,
/practice/A86003/,2,2,,,,,
/practice/A86003/ghost_generics/,1,1,,,,,
/practice/A86008/,1,1,,,,,
/practice/A86010/,3,2,,,,,
/practice/A86012/,5,4,,,,,
/practice/A86018/,2,1,,,,,
/practice/A86018/ghost_generics/,1,1,,,,,
/practice/A86021/,3,3,,,,,
/practice/A86021/ghost_generics/,1,1,,,,,
/practice/A86023/,6,6,,,,,
/practice/A86036/,2,1,,,,,
/practice/A86041/,2,2,,,,,
/practice/A87003/,5,3,,,,,
/practice/A87005/,4,3,,,,,
/practice/A87008/,1,1,,,,,
/practice/A87012/,1,1,,,,,
/practice/A87012/ghost_generics/,1,1,,,,,
/practice/A87013/,8,5,,,,,
/practice/A87015/,1,1,,,,,
/practice/A87020/,3,2,,,,,
/practice/A87022/,9,5,,,,,
/practice/A87023/,6,3,,,,,
/practice/A87030/,1,1,,,,,
/practice/A87600/,3,2,,,,,
/practice/A87600/concessions/,2,2,,,,,
/practice/A88002/,12,12,,,,,
/practice/A88007/,4,3,,,,,
/practice/A88008/,1,1,,,,,
/practice/A88009/,7,7,,,,,
/practice/A88012/,12,12,,,,,
/practice/A88015/,2,2,,,,,
/practice/A88016/,2,2,,,,,
/practice/A88023/,1,1,,,,,
/practice/A88613/,2,2,,,,,
/practice/A89001/,1,1,,,,,
/practice/A89001/concessions/,1,1,,,,,
/practice/A89001/ghost_generics/,1,1,,,,,
/practice/A89002/,1,1,,,,,
/practice/A89003/,4,4,,,,,
/practice/A89005/,1,1,,,,,
/practice/A89007/,1,1,,,,,
/practice/A89009/,3,3,,,,,
/practice/A89015/,4,2,,,,,
/practice/A89015/concessions/,2,1,,,,,
/practice/A89015/concessions/?breakdown_date=2018-12-01,3,2,,,,,
/practice/A89022/,1,1,,,,,
/practice/A89024/,1,1,,,,,
/practice/A89025/,2,2,,,,,
/practice/A89026/,6,5,,,,,
/practice/A89029/,1,1,,,,,
/practice/A89031/,2,1,,,,,
/practice/A89031/ghost_generics/,1,1,,,,,
/practice/A89032/,4,4,,,,,
/practice/A89038/,1,1,,,,,
/practice/A89610/,1,1,,,,,
/practice/B81004/,1,1,,,,,
/practice/B81006/,6,5,,,,,
/practice/B81006/ghost_generics/,1,1,,,,,
/practice/B81008/,1,1,,,,,
/practice/B81009/,8,8,,,,,
/practice/B81014/,5,5,,,,,
/practice/B81014/ghost_generics/,1,1,,,,,
/practice/B81015/,4,4,,,,,
/practice/B81018/,1,1,,,,,
/practice/B81022/,6,1,,,,,
/practice/B81022/concessions/,1,1,,,,,
/practice/B81022/ghost_generics/,1,1,,,,,
/practice/B81025/,4,2,,,,,
/practice/B81029/,1,1,,,,,
/practice/B81031/,3,3,,,,,
/practice/B81035/,3,2,,,,,
/practice/B81035/concessions/,1,1,,,,,
/practice/B81036/,1,1,,,,,
/practice/B81038/,3,1,,,,,
/practice/B81039/,5,2,,,,,
/practice/B81043/,1,1,,,,,
/practice/B81053/,2,1,,,,,
/practice/B81054/,1,1,,,,,
/practice/B81056/,2,2,,,,,
/practice/B81060/,8,5,,,,,
/practice/B81060/ghost_generics/,2,2,,,,,
/practice/B81068/,1,1,,,,,
/practice/B81069/,9,4,,,,,
/practice/B81070/,1,1,,,,,
/practice/B81074/,1,1,,,,,
/practice/B81081/,1,1,,,,,
/practice/B81085/,3,3,,,,,
/practice/B81088/,2,2,,,,,
/practice/B81092/,2,2,,,,,
/practice/B81094/,5,5,,,,,
/practice/B81097/,1,1,,,,,
/practice/B81099/,1,1,,,,,
/practice/B81100/,1,1,,,,,
/practice/B81101/,1,1,,,,,
/practice/B81104/,1,1,,,,,
/practice/B81118/,1,1,,,,,
/practice/B81121/,1,1,,,,,
/practice/B81603/,1,1,,,,,
/practice/B81617/,4,4,,,,,
/practice/B81645/,1,1,,,,,
/practice/B81648/,3,2,,,,,
/practice/B81648/concessions/,1,1,,,,,
/practice/B81653/,4,3,,,,,
/practice/B81658/,3,3,,,,,
/practice/B81663/,1,1,,,,,
/practice/B81664/,10,8,,,,,
/practice/B81686/,1,1,,,,,
/practice/B81686/ghost_generics/,1,1,,,,,
/practice/B82004/,1,1,,,,,
/practice/B82005/,1,1,,,,,
/practice/B82012/,1,1,,,,,
/practice/B82017/,2,1,,,,,
/practice/B82018/,1,1,,,,,
/practice/B82020/,1,1,,,,,
/practice/B82021/,2,2,,,,,
/practice/B82023/,2,2,,,,,
/practice/B82024/,2,2,,,,,
/practice/B82026/,2,2,,,,,
/practice/B82028/,3,2,,,,,
/practice/B82033/,1,1,,,,,
/practice/B82035/,1,1,,,,,
/practice/B82037/,2,2,,,,,
/practice/B82042/,6,5,,,,,
/practice/B82045/,1,1,,,,,
/practice/B82046/,2,1,,,,,
/practice/B82049/,2,2,,,,,
/practice/B82050/,3,3,,,,,
/practice/B82054/,5,4,,,,,
/practice/B82062/,1,1,,,,,
/practice/B82062/ghost_generics/,2,1,,,,,
/practice/B82063/,2,2,,,,,
/practice/B82069/,2,1,,,,,
/practice/B82075/,3,2,,,,,
/practice/B82081/,1,1,,,,,
/practice/B82083/,5,4,,,,,
/practice/B82097/,2,1,,,,,
/practice/B82105/,3,1,,,,,
/practice/B82106/,1,1,,,,,
/practice/B82628/,1,1,,,,,
/practice/B82635/,4,4,,,,,
/practice/B83008/,1,1,,,,,
/practice/B83012/,1,1,,,,,
/practice/B83014/,1,1,,,,,
/practice/B83019/,2,1,,,,,
/practice/B83022/,1,1,,,,,
/practice/B83038/,8,8,,,,,
/practice/B83042/,1,1,,,,,
/practice/B83045/,11,10,,,,,
/practice/B83050/,12,12,,,,,
/practice/B83052/,4,2,,,,,
/practice/B83055/,2,2,,,,,
/practice/B83055/ghost_generics/,1,1,,,,,
/practice/B83058/,5,3,,,,,
/practice/B83604/,2,2,,,,,
/practice/B83614/,3,3,,,,,
/practice/B83620/,1,1,,,,,
/practice/B83624/,1,1,,,,,
/practice/B83627/,1,1,,,,,
/practice/B83628/,4,2,,,,,
/practice/B83638/,4,3,,,,,
/practice/B83657/,2,2,,,,,
/practice/B83659/,5,4,,,,,
/practice/B83666/,4,2,,,,,
/practice/B83666/ghost_generics/,1,1,,,,,
/practice/B83667/,1,1,,,,,
/practice/B83693/,1,1,,,,,
/practice/B83696/,3,3,,,,,
/practice/B84002/,2,1,,,,,
/practice/B84004/,1,1,,,,,
/practice/B84006/,1,1,,,,,
/practice/B84007/,4,3,,,,,
/practice/B84008/,1,1,,,,,
/practice/B84009/,2,2,,,,,
/practice/B84010/,1,1,,,,,
/practice/B84011/,2,2,,,,,
/practice/B84011/concessions/,1,1,,,,,
/practice/B84017/,2,2,,,,,
/practice/B84019/,1,1,,,,,
/practice/B84613/,1,1,,,,,
/practice/B84618/,1,1,,,,,
/practice/B85001/,3,2,,,,,
/practice/B85004/,3,2,,,,,
/practice/B85006/,5,2,,,,,
/practice/B85011/,1,1,,,,,
/practice/B85022/,2,2,,,,,
/practice/B85025/,10,2,,,,,
/practice/B85028/,1,1,,,,,
/practice/B85032/,2,2,,,,,
/practice/B85048/,1,1,,,,,
/practice/B85054/,4,3,,,,,
/practice/B85059/,2,2,,,,,
/practice/B85062/,1,1,,,,,
/practice/B85610/,4,3,,,,,
/practice/B85620/,1,1,,,,,
/practice/B85622/,1,1,,,,,
/practice/B86001/,4,4,,,,,
/practice/B86006/,7,7,,,,,
/practice/B86007/,1,1,,,,,
/practice/B86010/,2,2,,,,,
/practice/B86012/,1,1,,,,,
/practice/B86014/,5,4,,,,,
/practice/B86023/,4,4,,,,,
/practice/B86024/,1,1,,,,,
/practice/B86030/,1,1,,,,,
/practice/B86032/,1,1,,,,,
/practice/B86033/,3,2,,,,,
/practice/B86038/,1,1,,,,,
/practice/B86043/,4,4,,,,,
/practice/B86047/,9,6,,,,,
/practice/B86050/,2,2,,,,,
/practice/B86054/,4,4,,,,,
/practice/B86056/,1,1,,,,,
/practice/B86057/,3,2,,,,,
/practice/B86057/ghost_generics/,1,1,,,,,
/practice/B86060/,1,1,,,,,
/practice/B86064/,1,1,,,,,
/practice/B86066/,1,1,,,,,
/practice/B86068/,1,1,,,,,
/practice/B86075/,7,7,,,,,
/practice/B86077/,12,2,,,,,
/practice/B86081/,4,3,,,,,
/practice/B86092/,12,9,,,,,
/practice/B86092/ghost_generics/,1,1,,,,,
/practice/B86095/,1,1,,,,,
/practice/B86100/,1,1,,,,,
/practice/B86101/,1,1,,,,,
/practice/B86104/,1,1,,,,,
/practice/B86110/,2,1,,,,,
/practice/B86123/,1,1,,,,,
/practice/B86625/,2,2,,,,,
/practice/B86648/,8,8,,,,,
/practice/B86667/,6,6,,,,,
/practice/B86674/,2,1,,,,,
/practice/B86678/,4,4,,,,,
/practice/B86682/,2,1,,,,,
/practice/B86682/concessions/,1,1,,,,,
/practice/B87001/,3,2,,,,,
/practice/B87003/,2,2,,,,,
/practice/B87006/,4,2,,,,,
/practice/B87007/,3,1,,,,,
/practice/B87008/,17,5,,,,,
/practice/B87009/,1,1,,,,,
/practice/B87011/,4,4,,,,,
/practice/B87013/,3,2,,,,,
/practice/B87013/ghost_generics/,1,1,,,,,
/practice/B87018/,1,1,,,,,
/practice/B87020/,1,1,,,,,
/practice/B87023/,2,1,,,,,
/practice/B87026/,5,5,,,,,
/practice/B87028/,2,2,,,,,
/practice/B87030/,6,4,,,,,
/practice/B87032/,2,2,,,,,
/practice/B87039/,1,1,,,,,
/practice/B87041/,1,1,,,,,
/practice/B87044/,1,1,,,,,
/practice/B87600/,1,1,,,,,
/practice/B87600/ghost_generics/,1,1,,,,,
/practice/B87604/,5,2,,,,,
/practice/B87604/ghost_generics/,1,1,,,,,
/practice/C81003/,1,1,,,,,
/practice/C81008/,17,15,,,,,
/practice/C81014/,1,1,,,,,
/practice/C81017/,2,1,,,,,
/practice/C81018/,4,4,,,,,
/practice/C81020/,4,3,,,,,
/practice/C81024/,1,1,,,,,
/practice/C81028/,2,2,,,,,
/practice/C81034/,1,1,,,,,
/practice/C81036/,1,1,,,,,
/practice/C81036/concessions/,1,1,,,,,
/practice/C81042/,5,5,,,,,
/practice/C81044/,3,1,,,,,
/practice/C81045/,3,2,,,,,
/practice/C81062/,1,1,,,,,
/practice/C81063/,1,1,,,,,
/practice/C81069/,6,2,,,,,
/practice/C81075/,1,1,,,,,
/practice/C81076/,1,1,,,,,
/practice/C81080/,1,1,,,,,
/practice/C81081/,3,2,,,,,
/practice/C81089/,5,5,,,,,
/practice/C81090/,1,1,,,,,
/practice/C81108/,2,2,,,,,
/practice/C81115/,1,1,,,,,
/practice/C81615/,1,1,,,,,
/practice/C81638/,4,4,,,,,
/practice/C81640/,1,1,,,,,
/practice/C81642/,2,1,,,,,
/practice/C81652/,2,1,,,,,
/practice/C81654/,2,2,,,,,
/practice/C81662/,4,4,,,,,
/practice/C82001/,1,1,,,,,
/practice/C82003/,2,2,,,,,
/practice/C82010/,2,2,,,,,
/practice/C82011/,2,1,,,,,
/practice/C82011/concessions/,1,1,,,,,
/practice/C82013/,1,1,,,,,
/practice/C82016/,1,1,,,,,
/practice/C82017/,1,1,,,,,
/practice/C82018/,1,1,,,,,
/practice/C82020/,2,2,,,,,
/practice/C82022/,1,1,,,,,
/practice/C82024/,6,4,,,,,
/practice/C82030/,1,1,,,,,
/practice/C82031/,3,1,,,,,
/practice/C82033/,1,1,,,,,
/practice/C82033/ghost_generics/,1,1,,,,,
/practice/C82036/,1,1,,,,,
/practice/C82045/,1,1,,,,,
/practice/C82046/,1,1,,,,,
/practice/C82047/,5,2,,,,,
/practice/C82050/,4,4,,,,,
/practice/C82055/,1,1,,,,,
/practice/C82062/,1,1,,,,,
/practice/C82063/,1,1,,,,,
/practice/C82076/,2,2,,,,,
/practice/C82077/,2,1,,,,,
/practice/C82078/,1,1,,,,,
/practice/C82079/,2,2,,,,,
